Date,Monthly power consumption
01-01-1993,87755
02-01-1993,85900
03-01-1993,85975
04-01-1993,69661
05-01-1993,62674
06-01-1993,65568
07-01-1993,74280
08-01-1993,71255
09-01-1993,64194
10-01-1993,69000
11-01-1993,76604
12-01-1993,92001
01-01-1994,101897
02-01-1994,88250
03-01-1994,86591
04-01-1994,67413
05-01-1994,65237
06-01-1994,70550
07-01-1994,76809
08-01-1994,70288
09-01-1994,63402
10-01-1994,68849
11-01-1994,73533
12-01-1994,87468
01-01-1995,91365
02-01-1995,87556
03-01-1995,80118
04-01-1995,69623
05-01-1995,65296
06-01-1995,68536
07-01-1995,78112
08-01-1995,78659
09-01-1995,62804
10-01-1995,66801
11-01-1995,80730
12-01-1995,96307
01-01-1996,99290
02-01-1996,87773
03-01-1996,89386
04-01-1996,71178
05-01-1996,69063
06-01-1996,70080
07-01-1996,72147
08-01-1996,74816
09-01-1996,66827
10-01-1996,69274
11-01-1996,80997
12-01-1996,88422
01-01-1997,97806
02-01-1997,79507
03-01-1997,83125
04-01-1997,71667
05-01-1997,66776
06-01-1997,69255
07-01-1997,75829
08-01-1997,71334
09-01-1997,65889
10-01-1997,71719
11-01-1997,80478
12-01-1997,91176
01-01-1998,88353
02-01-1998,78647
03-01-1998,82984
04-01-1998,69183
05-01-1998,69295
06-01-1998,72193
07-01-1998,77807
08-01-1998,78648
09-01-1998,69993
10-01-1998,71107
11-01-1998,77287
12-01-1998,88283
01-01-1999,97557
02-01-1999,81843
03-01-1999,86848
04-01-1999,69932
05-01-1999,66489
06-01-1999,74806
07-01-1999,86905
08-01-1999,76623
09-01-1999,70580
10-01-1999,72535
11-01-1999,76028
12-01-1999,92706
01-01-2000,99566
02-01-2000,85277
03-01-2000,81451
04-01-2000,72871
05-01-2000,71488
06-01-2000,75822
07-01-2000,76011
08-01-2000,79818
09-01-2000,73630
10-01-2000,74016
11-01-2000,83188
12-01-2000,103679
01-01-2001,99801
02-01-2001,85634
03-01-2001,91041
04-01-2001,74541
05-01-2001,71402
06-01-2001,78073
07-01-2001,79443
08-01-2001,87895
09-01-2001,70192.18
10-01-2001,74211.92
11-01-2001,76095.45
12-01-2001,90106.42
01-01-2002,93690
02-01-2002,81463
03-01-2002,85382
04-01-2002,75315
05-01-2002,73466
06-01-2002,79600
07-01-2002,90750
08-01-2002,91543
09-01-2002,74433
10-01-2002,79645
11-01-2002,84364
12-01-2002,100895
01-01-2003,108733
02-01-2003,94111
03-01-2003,90369
04-01-2003,78111
05-01-2003,73092
06-01-2003,77261
07-01-2003,87732
08-01-2003,90942
09-01-2003,74561
10-01-2003,79605
11-01-2003,81944
12-01-2003,100406
01-01-2004,112334
02-01-2004,92300
03-01-2004,88753
04-01-2004,77082
05-01-2004,79905
06-01-2004,79084
07-01-2004,86236
08-01-2004,87319
09-01-2004,78426
10-01-2004,78833
11-01-2004,82764
12-01-2004,102550
01-01-2005,108382
02-01-2005,91355
03-01-2005,97193
04-01-2005,77093
05-01-2005,75471
06-01-2005,90249
07-01-2005,98521
08-01-2005,98003
09-01-2005,81004
10-01-2005,80302
11-01-2005,85267
12-01-2005,107751
01-01-2006,99317
02-01-2006,92208
03-01-2006,93146
04-01-2006,75552
05-01-2006,77021
06-01-2006,83216
07-01-2006,100181
08-01-2006,93816
09-01-2006,74799
10-01-2006,82101
11-01-2006,84650
12-01-2006,97099
01-01-2007,101757
02-01-2007,101647
03-01-2007,95382
04-01-2007,82632
05-01-2007,77554
06-01-2007,84650
07-01-2007,89626
08-01-2007,94487
09-01-2007,79497
10-01-2007,79366
11-01-2007,86931
12-01-2007,103655
01-01-2008,103648
02-01-2008,94188
03-01-2008,94770
04-01-2008,76737
05-01-2008,76783
06-01-2008,85203
07-01-2008,93309
08-01-2008,84325
09-01-2008,77136
10-01-2008,79467
11-01-2008,85395
12-01-2008,102114
01-01-2009,110906
02-01-2009,90204
03-01-2009,88693
04-01-2009,75305
05-01-2009,71872
06-01-2009,75388
07-01-2009,81060
08-01-2009,88675
09-01-2009,72463
10-01-2009,76696
11-01-2009,77735
12-01-2009,101431
01-01-2010,103937
02-01-2010,90713
03-01-2010,83533
04-01-2010,70313
05-01-2010,76093
06-01-2010,84804
07-01-2010,97082
08-01-2010,89877
09-01-2010,74991
10-01-2010,74697
11-01-2010,83230
12-01-2010,107357
01-01-2011,107353.675
02-01-2011,93314.472
03-01-2011,94945.664
04-01-2011,78822.75
05-01-2011,76884.409
06-01-2011,82675.113
07-01-2011,99347.96
08-01-2011,85856.364
09-01-2011,76950.039
10-01-2011,77838.321
11-01-2011,80879.235
12-01-2011,96592.962
01-01-2012,102430.293
02-01-2012,87879.407
03-01-2012,82134.458
04-01-2012,75039.403
05-01-2012,77204.45
06-01-2012,81430.478
07-01-2012,99029.32
08-01-2012,91522.029
09-01-2012,76110.914
10-01-2012,76241.187
11-01-2012,87851.1
12-01-2012,97635.162
01-01-2013,106276.889
02-01-2013,96799.12
03-01-2013,97095.282
04-01-2013,77411.222
05-01-2013,76189.919
06-01-2013,82401.576
07-01-2013,101892.238
08-01-2013,86469.724
09-01-2013,76622.711
10-01-2013,79156.097
11-01-2013,89296.496
12-01-2013,105949.963
01-01-2014,118141.373
02-01-2014,101807.586
03-01-2014,103331.687
04-01-2014,77928.16
05-01-2014,73416.646
06-01-2014,81756.824
07-01-2014,89869.522
08-01-2014,83595.359
09-01-2014,76461.065
10-01-2014,76097.072
11-01-2014,87284.5
12-01-2014,100017.02
01-01-2015,113519.534
02-01-2015,109045.123
03-01-2015,101289.075
04-01-2015,76700.352
05-01-2015,78857.168
06-01-2015,81377.818
07-01-2015,93100.592
08-01-2015,90220.917
09-01-2015,81750.025
10-01-2015,75576.108
11-01-2015,78966.186
12-01-2015,88026.331
01-01-2016,107086.573
02-01-2016,92858.831
03-01-2016,83877.977
04-01-2016,74839.084
05-01-2016,75792.819
06-01-2016,81885.026
07-01-2016,98331.881
08-01-2016,98825.317
09-01-2016,80658.475
10-01-2016,74309.411
11-01-2016,82731.847
12-01-2016,101984.52
01-01-2017,102067.693
02-01-2017,84780.498
03-01-2017,95053.03
04-01-2017,71884.868
05-01-2017,72967.331
06-01-2017,81366.594
07-01-2017,91962.943
08-01-2017,86338.77
09-01-2017,77029.809
10-01-2017,74929.547
11-01-2017,86283.958
12-01-2017,105615.369
