t-12,t,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1
7237.537000000011,-16186.292000000018,-2042.6119999999935,-1227.8080000000043,5440.522000000012,-379.00600000000844,3231.069999999993,6625.55799999999,5288.959999999992,-520.9640000000072,-8318.313999999997,-11990.689000000013,-6432.960999999997
-2042.6119999999935,-17411.097999999998,-1227.8080000000043,5440.522000000012,-379.00600000000844,3231.069999999993,6625.55799999999,5288.959999999992,-520.9640000000072,-8318.313999999997,-11990.689000000013,-6432.960999999997,-16186.292000000018
-1227.8080000000043,-1861.2679999999966,5440.522000000012,-379.00600000000844,3231.069999999993,6625.55799999999,5288.959999999992,-520.9640000000072,-8318.313999999997,-11990.689000000013,-6432.960999999997,-16186.292000000018,-17411.097999999998
5440.522000000012,-3064.349000000002,-379.00600000000844,3231.069999999993,6625.55799999999,5288.959999999992,-520.9640000000072,-8318.313999999997,-11990.689000000013,-6432.960999999997,-16186.292000000018,-17411.097999999998,-1861.2679999999966
-379.00600000000844,507.2079999999987,3231.069999999993,6625.55799999999,5288.959999999992,-520.9640000000072,-8318.313999999997,-11990.689000000013,-6432.960999999997,-16186.292000000018,-17411.097999999998,-1861.2679999999966,-3064.349000000002
3231.069999999993,5231.289000000004,6625.55799999999,5288.959999999992,-520.9640000000072,-8318.313999999997,-11990.689000000013,-6432.960999999997,-16186.292000000018,-17411.097999999998,-1861.2679999999966,-3064.349000000002,507.2079999999987
6625.55799999999,8604.400000000009,5288.959999999992,-520.9640000000072,-8318.313999999997,-11990.689000000013,-6432.960999999997,-16186.292000000018,-17411.097999999998,-1861.2679999999966,-3064.349000000002,507.2079999999987,5231.289000000004
5288.959999999992,-1091.5499999999884,-520.9640000000072,-8318.313999999997,-11990.689000000013,-6432.960999999997,-16186.292000000018,-17411.097999999998,-1861.2679999999966,-3064.349000000002,507.2079999999987,5231.289000000004,8604.400000000009
-520.9640000000072,-1266.697,-8318.313999999997,-11990.689000000013,-6432.960999999997,-16186.292000000018,-17411.097999999998,-1861.2679999999966,-3064.349000000002,507.2079999999987,5231.289000000004,8604.400000000009,-1091.5499999999884
-8318.313999999997,3765.661000000007,-11990.689000000013,-6432.960999999997,-16186.292000000018,-17411.097999999998,-1861.2679999999966,-3064.349000000002,507.2079999999987,5231.289000000004,8604.400000000009,-1091.5499999999884,-1266.697
-11990.689000000013,13958.189000000013,-6432.960999999997,-16186.292000000018,-17411.097999999998,-1861.2679999999966,-3064.349000000002,507.2079999999987,5231.289000000004,8604.400000000009,-1091.5499999999884,-1266.697,3765.661000000007
-6432.960999999997,-5018.879999999989,-16186.292000000018,-17411.097999999998,-1861.2679999999966,-3064.349000000002,507.2079999999987,5231.289000000004,8604.400000000009,-1091.5499999999884,-1266.697,3765.661000000007,13958.189000000013
-16186.292000000018,-8078.332999999984,-17411.097999999998,-1861.2679999999966,-3064.349000000002,507.2079999999987,5231.289000000004,8604.400000000009,-1091.5499999999884,-1266.697,3765.661000000007,13958.189000000013,-5018.879999999989
-17411.097999999998,11175.053,-1861.2679999999966,-3064.349000000002,507.2079999999987,5231.289000000004,8604.400000000009,-1091.5499999999884,-1266.697,3765.661000000007,13958.189000000013,-5018.879999999989,-8078.332999999984
-1861.2679999999966,-2954.216000000001,-3064.349000000002,507.2079999999987,5231.289000000004,8604.400000000009,-1091.5499999999884,-1266.697,3765.661000000007,13958.189000000013,-5018.879999999989,-8078.332999999984,11175.053
-3064.349000000002,-2825.488000000012,507.2079999999987,5231.289000000004,8604.400000000009,-1091.5499999999884,-1266.697,3765.661000000007,13958.189000000013,-5018.879999999989,-8078.332999999984,11175.053,-2954.216000000001
507.2079999999987,-518.4320000000007,5231.289000000004,8604.400000000009,-1091.5499999999884,-1266.697,3765.661000000007,13958.189000000013,-5018.879999999989,-8078.332999999984,11175.053,-2954.216000000001,-2825.488000000012
5231.289000000004,-6368.937999999979,8604.400000000009,-1091.5499999999884,-1266.697,3765.661000000007,13958.189000000013,-5018.879999999989,-8078.332999999984,11175.053,-2954.216000000001,-2825.488000000012,-518.4320000000007
8604.400000000009,-12486.546999999993,-1091.5499999999884,-1266.697,3765.661000000007,13958.189000000013,-5018.879999999989,-8078.332999999984,11175.053,-2954.216000000001,-2825.488000000012,-518.4320000000007,-6368.937999999979
-1091.5499999999884,-3628.665999999997,-1266.697,3765.661000000007,13958.189000000013,-5018.879999999989,-8078.332999999984,11175.053,-2954.216000000001,-2825.488000000012,-518.4320000000007,-6368.937999999979,-12486.546999999993
-1266.697,620.1360000000133,3765.661000000007,13958.189000000013,-5018.879999999989,-8078.332999999984,11175.053,-2954.216000000001,-2825.488000000012,-518.4320000000007,-6368.937999999979,-12486.546999999993,-3628.665999999997
3765.661000000007,3552.1110000000044,13958.189000000013,-5018.879999999989,-8078.332999999984,11175.053,-2954.216000000001,-2825.488000000012,-518.4320000000007,-6368.937999999979,-12486.546999999993,-3628.665999999997,620.1360000000133
13958.189000000013,3630.849000000002,-5018.879999999989,-8078.332999999984,11175.053,-2954.216000000001,-2825.488000000012,-518.4320000000007,-6368.937999999979,-12486.546999999993,-3628.665999999997,620.1360000000133,3552.1110000000044
