t-12,t,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1
2350.0,-694.0,616.0,-2248.0,2563.0,4982.0,2529.0,-967.0,-792.0,-151.0,-3071.0,-4533.0,-10532.0
616.0,-6473.0,-2248.0,2563.0,4982.0,2529.0,-967.0,-792.0,-151.0,-3071.0,-4533.0,-10532.0,-694.0
-2248.0,2210.0,2563.0,4982.0,2529.0,-967.0,-792.0,-151.0,-3071.0,-4533.0,-10532.0,-694.0,-6473.0
2563.0,59.0,4982.0,2529.0,-967.0,-792.0,-151.0,-3071.0,-4533.0,-10532.0,-694.0,-6473.0,2210.0
4982.0,-2014.0,2529.0,-967.0,-792.0,-151.0,-3071.0,-4533.0,-10532.0,-694.0,-6473.0,2210.0,59.0
2529.0,1303.0,-967.0,-792.0,-151.0,-3071.0,-4533.0,-10532.0,-694.0,-6473.0,2210.0,59.0,-2014.0
-967.0,8371.0,-792.0,-151.0,-3071.0,-4533.0,-10532.0,-694.0,-6473.0,2210.0,59.0,-2014.0,1303.0
-792.0,-598.0,-151.0,-3071.0,-4533.0,-10532.0,-694.0,-6473.0,2210.0,59.0,-2014.0,1303.0,8371.0
-151.0,-2048.0,-3071.0,-4533.0,-10532.0,-694.0,-6473.0,2210.0,59.0,-2014.0,1303.0,8371.0,-598.0
-3071.0,7197.0,-4533.0,-10532.0,-694.0,-6473.0,2210.0,59.0,-2014.0,1303.0,8371.0,-598.0,-2048.0
-4533.0,8839.0,-10532.0,-694.0,-6473.0,2210.0,59.0,-2014.0,1303.0,8371.0,-598.0,-2048.0,7197.0
-10532.0,7925.0,-694.0,-6473.0,2210.0,59.0,-2014.0,1303.0,8371.0,-598.0,-2048.0,7197.0,8839.0
-694.0,217.0,-6473.0,2210.0,59.0,-2014.0,1303.0,8371.0,-598.0,-2048.0,7197.0,8839.0,7925.0
-6473.0,9268.0,2210.0,59.0,-2014.0,1303.0,8371.0,-598.0,-2048.0,7197.0,8839.0,7925.0,217.0
2210.0,1555.0,59.0,-2014.0,1303.0,8371.0,-598.0,-2048.0,7197.0,8839.0,7925.0,217.0,9268.0
59.0,3767.0,-2014.0,1303.0,8371.0,-598.0,-2048.0,7197.0,8839.0,7925.0,217.0,9268.0,1555.0
-2014.0,1544.0,1303.0,8371.0,-598.0,-2048.0,7197.0,8839.0,7925.0,217.0,9268.0,1555.0,3767.0
1303.0,-5965.0,8371.0,-598.0,-2048.0,7197.0,8839.0,7925.0,217.0,9268.0,1555.0,3767.0,1544.0
8371.0,-3843.0,-598.0,-2048.0,7197.0,8839.0,7925.0,217.0,9268.0,1555.0,3767.0,1544.0,-5965.0
-598.0,4023.0,-2048.0,7197.0,8839.0,7925.0,217.0,9268.0,1555.0,3767.0,1544.0,-5965.0,-3843.0
-2048.0,2473.0,7197.0,8839.0,7925.0,217.0,9268.0,1555.0,3767.0,1544.0,-5965.0,-3843.0,4023.0
7197.0,267.0,8839.0,7925.0,217.0,9268.0,1555.0,3767.0,1544.0,-5965.0,-3843.0,4023.0,2473.0
8839.0,-7885.0,7925.0,217.0,9268.0,1555.0,3767.0,1544.0,-5965.0,-3843.0,4023.0,2473.0,267.0
7925.0,-1484.0,217.0,9268.0,1555.0,3767.0,1544.0,-5965.0,-3843.0,4023.0,2473.0,267.0,-7885.0
217.0,-8266.0,9268.0,1555.0,3767.0,1544.0,-5965.0,-3843.0,4023.0,2473.0,267.0,-7885.0,-1484.0
9268.0,-6261.0,1555.0,3767.0,1544.0,-5965.0,-3843.0,4023.0,2473.0,267.0,-7885.0,-1484.0,-8266.0
1555.0,489.0,3767.0,1544.0,-5965.0,-3843.0,4023.0,2473.0,267.0,-7885.0,-1484.0,-8266.0,-6261.0
3767.0,-2287.0,1544.0,-5965.0,-3843.0,4023.0,2473.0,267.0,-7885.0,-1484.0,-8266.0,-6261.0,489.0
1544.0,-825.0,-5965.0,-3843.0,4023.0,2473.0,267.0,-7885.0,-1484.0,-8266.0,-6261.0,489.0,-2287.0
-5965.0,3682.0,-3843.0,4023.0,2473.0,267.0,-7885.0,-1484.0,-8266.0,-6261.0,489.0,-2287.0,-825.0
-3843.0,-3482.0,4023.0,2473.0,267.0,-7885.0,-1484.0,-8266.0,-6261.0,489.0,-2287.0,-825.0,3682.0
4023.0,-938.0,2473.0,267.0,-7885.0,-1484.0,-8266.0,-6261.0,489.0,-2287.0,-825.0,3682.0,-3482.0
2473.0,2445.0,267.0,-7885.0,-1484.0,-8266.0,-6261.0,489.0,-2287.0,-825.0,3682.0,-3482.0,-938.0
267.0,-519.0,-7885.0,-1484.0,-8266.0,-6261.0,489.0,-2287.0,-825.0,3682.0,-3482.0,-938.0,2445.0
-7885.0,2754.0,-1484.0,-8266.0,-6261.0,489.0,-2287.0,-825.0,3682.0,-3482.0,-938.0,2445.0,-519.0
-1484.0,-9453.0,-8266.0,-6261.0,489.0,-2287.0,-825.0,3682.0,-3482.0,-938.0,2445.0,-519.0,2754.0
-8266.0,-860.0,-6261.0,489.0,-2287.0,-825.0,3682.0,-3482.0,-938.0,2445.0,-519.0,2754.0,-9453.0
-6261.0,-141.0,489.0,-2287.0,-825.0,3682.0,-3482.0,-938.0,2445.0,-519.0,2754.0,-9453.0,-860.0
489.0,-2484.0,-2287.0,-825.0,3682.0,-3482.0,-938.0,2445.0,-519.0,2754.0,-9453.0,-860.0,-141.0
-2287.0,2519.0,-825.0,3682.0,-3482.0,-938.0,2445.0,-519.0,2754.0,-9453.0,-860.0,-141.0,-2484.0
-825.0,2938.0,3682.0,-3482.0,-938.0,2445.0,-519.0,2754.0,-9453.0,-860.0,-141.0,-2484.0,2519.0
3682.0,1978.0,-3482.0,-938.0,2445.0,-519.0,2754.0,-9453.0,-860.0,-141.0,-2484.0,2519.0,2938.0
-3482.0,7314.0,-938.0,2445.0,-519.0,2754.0,-9453.0,-860.0,-141.0,-2484.0,2519.0,2938.0,1978.0
-938.0,4104.0,2445.0,-519.0,2754.0,-9453.0,-860.0,-141.0,-2484.0,2519.0,2938.0,1978.0,7314.0
2445.0,-612.0,-519.0,2754.0,-9453.0,-860.0,-141.0,-2484.0,2519.0,2938.0,1978.0,7314.0,4104.0
-519.0,-3191.0,2754.0,-9453.0,-860.0,-141.0,-2484.0,2519.0,2938.0,1978.0,7314.0,4104.0,-612.0
2754.0,-2893.0,-9453.0,-860.0,-141.0,-2484.0,2519.0,2938.0,1978.0,7314.0,4104.0,-612.0,-3191.0
-9453.0,9204.0,-860.0,-141.0,-2484.0,2519.0,2938.0,1978.0,7314.0,4104.0,-612.0,-3191.0,-2893.0
-860.0,3196.0,-141.0,-2484.0,2519.0,2938.0,1978.0,7314.0,4104.0,-612.0,-3191.0,-2893.0,9204.0
-141.0,3864.0,-2484.0,2519.0,2938.0,1978.0,7314.0,4104.0,-612.0,-3191.0,-2893.0,9204.0,3196.0
-2484.0,749.0,2519.0,2938.0,1978.0,7314.0,4104.0,-612.0,-3191.0,-2893.0,9204.0,3196.0,3864.0
2519.0,-2806.0,2938.0,1978.0,7314.0,4104.0,-612.0,-3191.0,-2893.0,9204.0,3196.0,3864.0,749.0
2938.0,2613.0,1978.0,7314.0,4104.0,-612.0,-3191.0,-2893.0,9204.0,3196.0,3864.0,749.0,-2806.0
1978.0,9098.0,7314.0,4104.0,-612.0,-3191.0,-2893.0,9204.0,3196.0,3864.0,749.0,-2806.0,2613.0
7314.0,-2025.0,4104.0,-612.0,-3191.0,-2893.0,9204.0,3196.0,3864.0,749.0,-2806.0,2613.0,9098.0
4104.0,587.0,-612.0,-3191.0,-2893.0,9204.0,3196.0,3864.0,749.0,-2806.0,2613.0,9098.0,-2025.0
-612.0,1428.0,-3191.0,-2893.0,9204.0,3196.0,3864.0,749.0,-2806.0,2613.0,9098.0,-2025.0,587.0
-3191.0,-1259.0,-2893.0,9204.0,3196.0,3864.0,749.0,-2806.0,2613.0,9098.0,-2025.0,587.0,1428.0
-2893.0,4423.0,9204.0,3196.0,3864.0,749.0,-2806.0,2613.0,9098.0,-2025.0,587.0,1428.0,-1259.0
9204.0,2009.0,3196.0,3864.0,749.0,-2806.0,2613.0,9098.0,-2025.0,587.0,1428.0,-1259.0,4423.0
3196.0,3434.0,3864.0,749.0,-2806.0,2613.0,9098.0,-2025.0,587.0,1428.0,-1259.0,4423.0,2009.0
3864.0,-5397.0,749.0,-2806.0,2613.0,9098.0,-2025.0,587.0,1428.0,-1259.0,4423.0,2009.0,3434.0
749.0,2939.0,-2806.0,2613.0,9098.0,-2025.0,587.0,1428.0,-1259.0,4423.0,2009.0,3434.0,-5397.0
-2806.0,4999.0,2613.0,9098.0,-2025.0,587.0,1428.0,-1259.0,4423.0,2009.0,3434.0,-5397.0,2939.0
2613.0,1016.0,9098.0,-2025.0,587.0,1428.0,-1259.0,4423.0,2009.0,3434.0,-5397.0,2939.0,4999.0
9098.0,-10894.0,-2025.0,587.0,1428.0,-1259.0,4423.0,2009.0,3434.0,-5397.0,2939.0,4999.0,1016.0
-2025.0,3195.0,587.0,1428.0,-1259.0,4423.0,2009.0,3434.0,-5397.0,2939.0,4999.0,1016.0,-10894.0
587.0,3050.0,1428.0,-1259.0,4423.0,2009.0,3434.0,-5397.0,2939.0,4999.0,1016.0,-10894.0,3195.0
1428.0,1481.0,-1259.0,4423.0,2009.0,3434.0,-5397.0,2939.0,4999.0,1016.0,-10894.0,3195.0,3050.0
-1259.0,7160.0,4423.0,2009.0,3434.0,-5397.0,2939.0,4999.0,1016.0,-10894.0,3195.0,3050.0,1481.0
4423.0,10973.0,2009.0,3434.0,-5397.0,2939.0,4999.0,1016.0,-10894.0,3195.0,3050.0,1481.0,7160.0
2009.0,235.0,3434.0,-5397.0,2939.0,4999.0,1016.0,-10894.0,3195.0,3050.0,1481.0,7160.0,10973.0
3434.0,357.0,-5397.0,2939.0,4999.0,1016.0,-10894.0,3195.0,3050.0,1481.0,7160.0,10973.0,235.0
-5397.0,9590.0,2939.0,4999.0,1016.0,-10894.0,3195.0,3050.0,1481.0,7160.0,10973.0,235.0,357.0
2939.0,1670.0,4999.0,1016.0,-10894.0,3195.0,3050.0,1481.0,7160.0,10973.0,235.0,357.0,9590.0
4999.0,-86.0,1016.0,-10894.0,3195.0,3050.0,1481.0,7160.0,10973.0,235.0,357.0,9590.0,1670.0
1016.0,2251.0,-10894.0,3195.0,3050.0,1481.0,7160.0,10973.0,235.0,357.0,9590.0,1670.0,-86.0
-10894.0,3432.0,3195.0,3050.0,1481.0,7160.0,10973.0,235.0,357.0,9590.0,1670.0,-86.0,2251.0
3195.0,8077.0,3050.0,1481.0,7160.0,10973.0,235.0,357.0,9590.0,1670.0,-86.0,2251.0,3432.0
3050.0,-3437.8200000000065,1481.0,7160.0,10973.0,235.0,357.0,9590.0,1670.0,-86.0,2251.0,3432.0,8077.0
1481.0,195.91999999999825,7160.0,10973.0,235.0,357.0,9590.0,1670.0,-86.0,2251.0,3432.0,8077.0,-3437.8200000000065
7160.0,-7092.550000000002,10973.0,235.0,357.0,9590.0,1670.0,-86.0,2251.0,3432.0,8077.0,-3437.8200000000065,195.91999999999825
10973.0,-13572.580000000002,235.0,357.0,9590.0,1670.0,-86.0,2251.0,3432.0,8077.0,-3437.8200000000065,195.91999999999825,-7092.550000000002
235.0,-6111.0,357.0,9590.0,1670.0,-86.0,2251.0,3432.0,8077.0,-3437.8200000000065,195.91999999999825,-7092.550000000002,-13572.580000000002
357.0,-4171.0,9590.0,1670.0,-86.0,2251.0,3432.0,8077.0,-3437.8200000000065,195.91999999999825,-7092.550000000002,-13572.580000000002,-6111.0
9590.0,-5659.0,1670.0,-86.0,2251.0,3432.0,8077.0,-3437.8200000000065,195.91999999999825,-7092.550000000002,-13572.580000000002,-6111.0,-4171.0
