Date,Monthly power consumption
01-01-2014,118141.373
02-01-2014,101807.586
03-01-2014,103331.687
04-01-2014,77928.16
05-01-2014,73416.646
06-01-2014,81756.824
07-01-2014,89869.522
08-01-2014,83595.359
09-01-2014,76461.065
10-01-2014,76097.072
11-01-2014,87284.5
12-01-2014,100017.02
01-01-2015,113519.534
02-01-2015,109045.123
03-01-2015,101289.075
04-01-2015,76700.352
05-01-2015,78857.168
06-01-2015,81377.818
07-01-2015,93100.592
08-01-2015,90220.917
09-01-2015,81750.025
10-01-2015,75576.108
11-01-2015,78966.186
12-01-2015,88026.331
01-01-2016,107086.573
02-01-2016,92858.831
03-01-2016,83877.977
04-01-2016,74839.084
05-01-2016,75792.819
06-01-2016,81885.026
07-01-2016,98331.881
08-01-2016,98825.317
09-01-2016,80658.475
10-01-2016,74309.411
11-01-2016,82731.847
12-01-2016,101984.52
01-01-2017,102067.693
02-01-2017,84780.498
03-01-2017,95053.03
04-01-2017,71884.868
05-01-2017,72967.331
06-01-2017,81366.594
07-01-2017,91962.943
08-01-2017,86338.77
09-01-2017,77029.809
10-01-2017,74929.547
11-01-2017,86283.958
12-01-2017,105615.369
